2014-07-08 19:38:55 :  UDP Server run 
2014-07-08 19:38:55 :  HeartBeat run 
2014-07-08 19:40:12 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:12 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:13 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:13 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:14 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:15 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:15 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:15 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:16 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:16 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:16 : get UDP information from192.168.1.103,CPU Usage:5 
2014-07-08 19:40:17 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:17 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:17 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:18 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:18 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:18 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:19 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:19 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:20 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:21 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:21 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:21 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:22 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:22 : get UDP information from192.168.1.105,CPU Usage:5 
2014-07-08 19:40:22 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:23 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:23 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:23 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:24 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:24 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:24 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:25 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:26 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:26 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:27 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:27 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:27 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:28 : get UDP information from192.168.1.104,CPU Usage:11 
2014-07-08 19:40:28 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:28 : get UDP information from192.168.1.103,CPU Usage:5 
2014-07-08 19:40:29 : get UDP information from192.168.1.104,CPU Usage:10 
2014-07-08 19:40:29 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:29 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:30 : get UDP information from192.168.1.104,CPU Usage:22 
2014-07-08 19:40:30 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:30 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:31 : get UDP information from192.168.1.104,CPU Usage:27 
2014-07-08 19:40:32 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:32 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:33 : get UDP information from192.168.1.104,CPU Usage:30 
2014-07-08 19:40:33 : get UDP information from192.168.1.105,CPU Usage:6 
2014-07-08 19:40:33 : get UDP information from192.168.1.103,CPU Usage:0 
2014-07-08 19:40:34 : get UDP information from192.168.1.104,CPU Usage:15 
2014-07-08 19:40:34 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:34 : get UDP information from192.168.1.103,CPU Usage:11 
2014-07-08 19:40:35 : get UDP information from192.168.1.104,CPU Usage:17 
2014-07-08 19:40:35 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:35 : get UDP information from192.168.1.103,CPU Usage:20 
2014-07-08 19:40:36 : get UDP information from192.168.1.104,CPU Usage:15 
2014-07-08 19:40:36 : get UDP information from192.168.1.105,CPU Usage:25 
2014-07-08 19:40:36 : get UDP information from192.168.1.103,CPU Usage:11 
2014-07-08 19:40:37 : get UDP information from192.168.1.104,CPU Usage:27 
2014-07-08 19:40:38 : get UDP information from192.168.1.105,CPU Usage:11 
2014-07-08 19:40:38 : get UDP information from192.168.1.103,CPU Usage:24 
2014-07-08 19:40:39 : get UDP information from192.168.1.104,CPU Usage:10 
2014-07-08 19:40:39 : get UDP information from192.168.1.105,CPU Usage:22 
2014-07-08 19:40:39 : get UDP information from192.168.1.103,CPU Usage:10 
2014-07-08 19:40:40 : get UDP information from192.168.1.104,CPU Usage:25 
2014-07-08 19:40:40 : get UDP information from192.168.1.105,CPU Usage:0 
2014-07-08 19:40:40 : get UDP information from192.168.1.103,CPU Usage:20 
2014-07-08 19:40:41 : get UDP information from192.168.1.104,CPU Usage:0 
2014-07-08 19:40:41 : get UDP information from192.168.1.105,CPU Usage:5 
2014-07-08 19:40:41 : get UDP information from192.168.1.103,CPU Usage:6 
2014-07-08 19:40:42 : get UDP information from192.168.1.104,CPU Usage:18 
2014-07-08 19:40:42 : get UDP information from192.168.1.105,CPU Usage:17 
2014-07-08 19:40:43 : get UDP information from192.168.1.103,CPU Usage:15 
2014-07-08 19:40:43 : get UDP information from192.168.1.104,CPU Usage:27 
2014-07-08 19:40:44 : get UDP information from192.168.1.105,CPU Usage:11 
2014-07-08 19:40:44 : get UDP information from192.168.1.103,CPU Usage:15 
2014-07-08 19:40:45 : get UDP information from192.168.1.104,CPU Usage:30 
